"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"06-06-2020";"11:00";19,1;12,1;64;80;11,2;;18,4;0;1005,6;969,8;4
11012;"Kremsmünster";383;"06-06-2020";"11:00";18,6;10,5;60;102;22,7;97;31,7;0;1005,4;960,9;4
11022;"Retz";320;"06-06-2020";"11:00";19,4;10,2;55;147;14,4;158;27;0;1006,3;969,7;29
11035;"Wien/Hohe Warte";203;"06-06-2020";"11:00";22;11,1;50;145;23;163;46,4;0;1006,4;982,6;61
11036;"Wien/Schwechat";183;"06-06-2020";"11:00";20,3;12,5;61;140;27,7;;46,4;0;1007;985,9;70
11101;"Bregenz";424;"06-06-2020";"11:00";18,2;10,8;62;33;5,8;218;16,2;0;1004,5;954,8;0
11121;"Innsbruck";579;"06-06-2020";"11:00";18,7;11;60;340;4,3;309;12,6;0;1003,2;937,5;51
11126;"Patscherkofel";2247;"06-06-2020";"11:00";7,1;3,5;79;175;65,9;175;85,3;0;;768,1;88
11130;"Kufstein";495;"06-06-2020";"11:00";18,6;9,6;56;65;11,9;54;28,1;0;1004,5;948,8;100
11150;"Salzburg";430;"06-06-2020";"11:00";19,7;12;61;330;11,2;;22,3;0;1004,3;954;99
11155;"Feuerkogel";1618;"06-06-2020";"11:00";12,6;7,9;74;174;20,2;173;29,2;0;;829,7;56
11157;"Aigen im Ennstal";640;"06-06-2020";"11:00";18;10,5;62;44;13,3;69;29,9;0;1005,2;932;20
11171;"Mariazell";866;"06-06-2020";"11:00";16,9;9,5;62;147;22,3;132;42,8;0;1005;909;92
11190;"Eisenstadt";184;"06-06-2020";"11:00";21,6;10,8;50;160;23,4;132;44,3;0;1006,9;986;75
11204;"Lienz";659;"06-06-2020";"11:00";17;11,3;70;122;2,9;85;10,1;0;1007,2;931,9;39
11240;"Graz/Flughafen";340;"06-06-2020";"11:00";19,5;12;62;140;5,4;;18,4;0;1007,5;966,1;99
11244;"Bad Gleichenberg";280;"06-06-2020";"11:00";19,3;14,2;72;123;6,8;89;18,7;0;1008,4;977,3;98
11265;"Villacher Alpe";2140;"06-06-2020";"11:00";6,2;6,1;100;225;31;235;36;0;;779,7;1
11331;"Klagenfurt/Flughafen";447;"06-06-2020";"11:00";16,8;11;68;204;7,6;198;14,8;0;1008,5;956,7;65
11343;"Sonnblick";3105;"06-06-2020";"11:00";-0,1;-0,2;100;215;38,2;240;56,2;;;692,1;0
11389;"St. Pölten";270;"06-06-2020";"11:00";21,4;12,5;57;45;4;334;15,8;0;1005,3;974,7;64
